,Plate Waste,Empty Plate,Kitchen Waste,No Objects
20181201161738_5e5d51a3-2583-4085-b39f-959809813d63.jpg,0,0,1,0
20181201161743_bc973930-7fdc-4db0-b313-d06ed4126885.jpg,0,0,1,0
20181201161754_77884834-0628-46e3-bcd3-a7572c6d86c5.jpg,0,0,1,0
20181201162213_10cc0d16-1ec6-4fb8-9155-4faa689c0398.jpg,0,0,1,0
20181201162235_3bc68781-2823-4716-aaf1-275e45efa207.jpg,0,0,1,0
20181201162300_52d08ea3-af8b-4ae2-a3c1-4c0248fb3a56.jpg,0,0,1,0
20181201162356_7f244344-978b-45f6-9762-7b112720bf15.jpg,0,0,1,0
20181201164040_4585bfd4-1c4c-442d-a308-b8a25a4ce30a.jpg,1,0,0,0
20181201165010_0c967660-afdc-4e1c-84a3-4e32c194c601.jpg,0,1,0,0
20181201165053_52d09c4c-572e-43f7-bf18-31a1cf0645ee.jpg,0,0,0,1
20181201165102_18356eb3-f23a-4292-b2db-ac4baf5bc877.jpg,0,1,0,0
20181201165245_4c452b4b-24b4-4209-8af4-8ea93d91af94.jpg,0,0,1,0
20181201165318_bf7897e0-55c0-4164-83d9-d6890d28ccee.jpg,1,0,0,0
20181201165341_dca52779-305f-4b1e-8061-0bae760ecb6e.jpg,1,0,0,0
20181201165351_863718e2-3100-423e-ab6c-6967844c5eb1.jpg,1,0,0,0
20181201170336_0f9e3371-8917-4f56-ae2e-edcf5e131cd3.jpg,0,1,0,0
20181201170441_bc5610b4-0544-432e-93dd-110a5a550dfb.jpg,0,0,0,1
20181201170451_a38ade27-c8a4-43f4-a600-dc2998b65a43.jpg,0,1,0,0
20181201170954_e5441131-7335-4f9f-bb83-5fca1fe48d0a.jpg,0,0,0,1
20181201170959_55c09ea0-dbad-48f7-a207-7f24647e3d10.jpg,0,1,0,0
20181201171155_afb46013-168b-40fc-8d00-82aa3739cae7.jpg,0,1,0,0
20181201171216_3b083803-f5c7-45be-851c-b48338525def.jpg,0,1,0,0
20181201171220_f387c543-1861-45dd-bcba-b992d9e676e8.jpg,0,0,0,1
20181201172118_72523f7d-d7e9-4879-b168-a1cadba8175d.jpg,0,1,0,0
20181201172123_7d2993c1-c52b-4632-aa0a-bea5cea738c1.jpg,1,0,0,0
20181201172128_16d355db-c403-4cad-902c-bbd265a3638b.jpg,0,1,0,0
20181201172225_e4d84f67-31f8-4a6f-be62-408ffaeb2432.jpg,1,0,0,0
20181201172240_3d9cb943-62bb-4d69-b8b3-ba0091082520.jpg,1,0,0,0
20181201172442_9902f2b2-5a25-41b5-980c-0851658fbdb3.jpg,1,0,0,0
20181201172501_a21c192c-e65c-48c5-8d98-59674e54f734.jpg,1,0,0,0
20181201172526_1de738b2-5053-4ddf-b689-91aa7953309a.jpg,1,0,0,0
20181201172701_7fda7618-cdf6-444c-b843-ce366b2ae1c5.jpg,1,0,0,0
20181201172831_4a65b239-18ba-4e7b-b273-ad78f3058964.jpg,0,1,0,0
20181201172842_069c5498-6d71-47f8-a22e-ffa3552cafe0.jpg,1,0,0,0
20181201173030_a1f9d7e9-bfec-4a42-ad64-45bc87b78cb8.jpg,0,1,0,0
20181201173200_47d3d289-ea3b-4621-8b6f-791fd73a9756.jpg,0,0,0,1
20181201173820_02618abd-e41f-4f3c-bdbf-45c6439743db.jpg,1,0,0,0
20181201173830_88f0db31-49d7-406d-9581-31ffc51a838c.jpg,1,0,0,0
20181201173850_0165f699-20ff-465b-9a06-dd7068b09ea9.jpg,1,0,0,0
20181201173946_1ec9708b-d553-4816-ba6a-677394bada48.jpg,0,0,1,0
20181201173958_69c21604-2740-472b-b2f4-34f48052ea70.jpg,0,0,1,0
20181201174123_194a655a-dbc3-4d9c-88ef-28b21fcedc65.jpg,0,0,1,0
20181201174130_5b343b8f-8b3b-4b4b-bf22-871e8c594dd1.jpg,0,0,1,0
20181201174133_6c57aaac-5263-49d3-b219-3c39e90d5e1e.jpg,0,0,0,1
20181201174144_4568a602-4c05-44a8-869e-f09aa72f665e.jpg,1,0,0,0
20181201174700_6bd8e4eb-9a0a-4ead-b990-74a975d2b0a1.jpg,0,0,1,0
20181201174713_68810498-4e11-4144-91a4-4a78e2f9c6b7.jpg,1,0,0,0
20181201175016_5061c12c-0ea8-4f89-9fe8-371079f31e0c.jpg,1,0,0,0
20181201175027_a2b991bc-b84a-4f2d-8749-1edb30a68335.jpg,1,0,0,0
20181201175053_6ad39f82-a994-4359-bac2-f4fb8c8d17d7.jpg,1,0,0,0
20181201175127_4d1a7114-0127-47fe-91e9-32cddf094f4e.jpg,0,0,0,1
20181201175414_7ddf3c2c-a164-4d43-bb0a-158d50ccfee0.jpg,0,0,0,1
20181201175420_d0e0b71e-b6c8-4085-a26f-b6061583c10b.jpg,0,1,0,0
20181201175807_5413ff93-288e-4817-b86b-0aeb7acf9368.jpg,0,0,0,1
20181201175815_043dee00-907e-4cff-8eab-777086c817a4.jpg,0,1,0,0
20181201175827_887d2e63-6ec5-410f-816f-22f760979ce5.jpg,1,0,0,0
20181201175833_e32e6037-0e41-4b34-bf98-f9244f572ecb.jpg,1,0,0,0
20181201175841_462a99db-348a-4ad8-b067-dfaad0bf1c1a.jpg,0,1,0,0
20181201175917_31e811b2-d7a3-4d3e-a7a2-790d1f83494d.jpg,1,0,0,0
20181201175929_993b3123-c7c3-4166-b08f-1afe9c7e66fc.jpg,0,0,0,1
20181201175955_87f5bc85-bd2d-46e3-b653-87af0f814698.jpg,1,0,0,0
20181201180003_f55b27eb-90bd-4122-ba0a-db6d54107e77.jpg,0,1,0,0
20181201180031_114c81d0-983d-4fa6-9cb9-de4546a191cd.jpg,1,0,0,0
20181201180057_767d3bea-4077-46da-8e81-cd73cf33a47f.jpg,1,0,0,0
20181201180218_9553f207-2091-4393-ab8f-f82f704b7d39.jpg,1,0,0,0
20181201180313_e2a403ce-ce6f-4af5-a66b-85b7223d8bbd.jpg,0,1,0,0
20181201180514_545dbb4a-ab5f-42c5-9dfd-f610fde3794e.jpg,0,0,0,1
20181201180519_fe4343b4-f70c-4eaf-958c-079d8d67f04a.jpg,0,0,0,1
20181201180645_aad01738-f9fe-4993-bf9b-1f332c171672.jpg,1,0,0,0
20181201180653_337ac777-bec5-4a08-9e43-546de3d93866.jpg,0,0,0,1
20181201180720_60b59b08-7ca4-4a77-b0d4-2f28d2f4715c.jpg,1,0,0,0
20181201180733_8b21fe57-13b1-42fe-82b0-3e8ab633cb03.jpg,0,1,0,0
20181201180818_25da2358-d504-434a-9931-6607c4462bcf.jpg,1,0,0,0
20181201180822_96e55a54-bbd3-4cec-9b01-a268281a895c.jpg,1,0,0,0
20181201180825_0381745d-6277-4e88-abef-42630a1c0dfb.jpg,1,0,0,0
20181201181030_732f7ea1-3023-48fc-bac4-816bf87dc92e.jpg,1,0,0,0
20181201181057_4ac08546-a1be-451b-8ce0-02fec7530111.jpg,1,0,0,0
20181201181157_fc8729d8-b286-4a97-988b-4e0fee8c24c0.jpg,1,0,0,0
20181201181314_c862694b-1165-4db8-acf3-89c805ebb1a4.jpg,0,0,0,1
20181201181321_e9611874-eefe-4bb4-a5c5-4cfc7daa1428.jpg,1,0,0,0
20181201181329_5beca561-3a3b-4d7b-b140-473db9f0a182.jpg,0,1,0,0
20181201181346_f645a67d-701f-4142-88a7-d462d15597cf.jpg,0,1,0,0
20181201181716_e9babae0-8b42-408d-81bc-c88aaff222be.jpg,1,0,0,0
20181201181813_1b2043a6-067e-4cc2-ba77-ee8abdbc7a3b.jpg,1,0,0,0
20181201181856_477410f5-f2a8-452f-b037-b429d7779836.jpg,0,0,0,1
20181201182021_256e61b5-5df6-4fdc-91bd-3618c5328b9a.jpg,1,0,0,0
20181201182030_3637b9f6-c5b5-4b18-85b7-6e1b001f9fbb.jpg,1,0,0,0
20181201182059_66407d1e-da65-4ca9-96e5-e158530d2f8d.jpg,1,0,0,0
20181201182109_058af3de-726b-4f90-9e15-cfd84b773f45.jpg,1,0,0,0
20181201182124_d2001f6f-204b-4f1c-9df3-4c495fe836a1.jpg,1,0,0,0
20181201182149_e7d70e46-42ee-4d01-b34d-560f8debca72.jpg,1,0,0,0
20181201182207_f899a234-7525-4920-8ddc-db2e008373d6.jpg,1,0,0,0
20181201182232_99930ebc-fb48-4509-8b67-3a05ee0b2aa9.jpg,0,1,0,0
20181201182235_4ea26e14-8983-4be4-ba40-58213b5b5d52.jpg,0,1,0,0
20181201182416_ebe9a4cf-8ead-4e14-8880-a1d7a71c1f60.jpg,0,0,0,1
20181201182457_96fa6197-75e4-45dd-9e37-359acbbba498.jpg,0,1,0,0
20181201182827_945bfc02-4530-4486-8df0-004f36320f56.jpg,1,0,0,0
20181201183053_ef41305e-cf9b-4bfd-a56b-9491bdd6890b.jpg,1,0,0,0
20181201183058_b0ee708e-0c67-48e2-a6ce-0088919ad4c4.jpg,1,0,0,0
20181201183117_3d42a44c-b197-462d-92ee-708b0c59dfeb.jpg,1,0,0,0
20181201183224_0fdfd832-b097-4a0e-8503-a6a77469f56b.jpg,1,0,0,0
20181201183551_4441f137-52cf-4620-9628-80da4311e653.jpg,0,1,0,0
20181201183647_5cd89162-ac9a-4b3d-a9fa-9350f8f43450.jpg,1,0,0,0
20181201183651_396c3389-3bdb-43c7-b364-1dc975d1aba6.jpg,1,0,0,0
20181201183702_08485395-6e30-48ed-9df7-63a3f25089bd.jpg,1,0,0,0
20181201183714_a51d0de5-c97b-431e-819a-eed82d1dcd31.jpg,1,0,0,0
20181201183851_f816c543-6699-4e3f-88a4-32b02ae13690.jpg,0,1,0,0
20181201183858_ba95f77b-0fd7-4e9e-b4bc-675d4a1e52fa.jpg,0,1,0,0
20181201184043_fc3b84d7-b682-4e3f-9c7b-ad831ad552ce.jpg,1,0,0,0
20181201184048_080c60b0-973a-46b5-bd49-b83a527251fa.jpg,0,1,0,0
20181201184339_d5b50327-959d-4514-82b8-ccdcbca3797c.jpg,1,0,0,0
20181201184343_5b790fa7-d456-43b8-a1e8-85dc056fa953.jpg,1,0,0,0
20181201184412_16ced2c7-6ed1-45f4-82f2-95f5e6a3cbf5.jpg,1,0,0,0
20181201184559_c2a3a6b2-63a7-4463-a318-96da69b89949.jpg,1,0,0,0
20181201184615_b4812680-d1e2-4bfe-b925-7885cfadd243.jpg,1,0,0,0
20181201184649_5bb09a48-329f-4742-a6de-6f3decdcee9d.jpg,1,0,0,0
20181201184826_9f84db4c-ac2a-401a-9c64-0c065be62083.jpg,1,0,0,0
20181201184832_78017ed2-16c6-44ac-8ba1-bacc20362d18.jpg,1,0,0,0
20181201184835_9567f2c5-b980-4f18-8af8-2cc13d47c125.jpg,1,0,0,0
20181201184854_19716e11-7e6a-4572-b407-d7123b7a10b0.jpg,1,0,0,0
20181201184904_c2d17862-1bd1-4741-855d-ef4be9cd0ee8.jpg,0,1,0,0
20181201184925_b6b6b07e-be8c-4af7-aefc-d7a5bada11d9.jpg,1,0,0,0
20181201184935_53ae3953-c439-4929-8d09-8c358df2cb53.jpg,1,0,0,0
20181201184941_410c54b4-076a-4a60-a7f1-6c673d7fef54.jpg,1,0,0,0
20181201185234_8c0d82cd-647c-4fba-ab5d-da3dad547c76.jpg,1,0,0,0
20181201185240_bfc9f428-8b52-4da6-86ae-8538bde4639f.jpg,1,0,0,0
20181201185307_9799bea6-ad6e-4c7f-b412-e76818d677b5.jpg,1,0,0,0
20181201185321_5215d929-b1b8-4219-bafe-d308f43dde86.jpg,1,0,0,0
20181201185500_8bda0578-5d3b-4a88-a57e-e928744ef116.jpg,1,0,0,0
20181201185509_49dc71eb-5412-449c-8e58-6603b6220d39.jpg,1,0,0,0
20181201185517_50a600cd-40a2-45c5-9c1d-f5eb2501f239.jpg,1,0,0,0
20181201185522_ef38a2e8-6a67-4cf9-87dd-09f87b91ee84.jpg,1,0,0,0
20181201185749_a84eddcb-9d6a-4bb9-b064-75a71d10637a.jpg,1,0,0,0
20181201185814_3de7b292-a0f0-44f6-9af3-bb4553de71ef.jpg,1,0,0,0
20181201185829_9f026d86-58d7-48fb-b0a6-95be8320ea56.jpg,1,0,0,0
20181201185902_f9d4839c-d8d3-4f9a-9030-d29a0efb9075.jpg,1,0,0,0
20181201185909_a70de49a-d0be-4d8d-88aa-b8b6da49b4ea.jpg,1,0,0,0
20181201185927_fe92ce24-e90a-4b4c-a084-a200bf6727dc.jpg,1,0,0,0
20181201185937_1c1c75ec-bc9c-4576-a198-2b4e7ae6a87e.jpg,1,0,0,0
20181201185952_3aba5b7e-486c-4105-81fd-592f9980b1f8.jpg,1,0,0,0
20181201190000_e414cebf-d8ce-4ef6-9142-f53788e896bd.jpg,1,0,0,0
20181201190001_47ba60b8-b53e-49b8-91f2-b2272d045520.jpg,1,0,0,0
20181201190006_07630dfa-2d44-4b43-9f5f-4b7eac34c0f4.jpg,1,0,0,0
20181201190016_3b2fdc38-ba4a-4464-92b9-fb1157542522.jpg,1,0,0,0
20181201190045_4ab4df81-fba3-425b-b537-16c70f830bb1.jpg,1,0,0,0
20181201190059_992720cb-bb89-41e7-9003-6639ec01c17b.jpg,1,0,0,0
20181201190345_73968616-26cf-4702-8017-83f3c4a9b4d4.jpg,0,1,0,0
20181201190357_63301902-d55c-4640-a17a-058a8c2e69ee.jpg,1,0,0,0
20181201190511_b53cec53-08a2-4d49-b3c9-d8080521c21f.jpg,0,0,1,0
20181201191103_ac1b957a-5a61-4636-a8ba-8a5fbb98e4a9.jpg,1,0,0,0
20181201191112_2b8f11f8-4fa8-4716-8064-35eedbc4ceb3.jpg,1,0,0,0
20181201191146_9ef1cfb5-37bf-4259-8b59-f8e9c99c2014.jpg,1,0,0,0
20181201191201_a2226bcf-d565-4cbb-814d-ac3268d1b168.jpg,1,0,0,0
20181201191231_af482f37-37f8-4df4-a48c-621af2dfe93e.jpg,1,0,0,0
20181201191259_a2ea3dca-dfe0-4a83-abf5-b7a60ec5e7bf.jpg,1,0,0,0
20181201191359_f8c5c65b-70b0-4c03-8ec8-e38f66e2a2b2.jpg,1,0,0,0
20181201191413_e150ab49-73b7-4fc8-a2c3-29143338dfc4.jpg,1,0,0,0
20181201191431_549f202e-221a-45bf-aad1-ce1c2fff22e7.jpg,1,0,0,0
20181201191446_ccccd5bf-4ec0-4186-80af-09da63ea339a.jpg,1,0,0,0
20181201191558_be62885c-6e46-4b1a-8496-d066271dcb23.jpg,0,1,0,0
20181201191606_8103ab0f-96a5-466f-94d3-0c71dd153a32.jpg,1,0,0,0
20181201191848_8088289c-577c-4ca9-9660-104acf579d6d.jpg,1,0,0,0
20181201191930_d41d4c84-aeee-4e19-9363-c81d857ad242.jpg,1,0,0,0
20181201191952_ebb2a7b1-940f-424a-a9b7-96e0b82d20f6.jpg,1,0,0,0
20181201192001_29a0e3fb-af21-4ef0-8aaf-dbe4a94cfb08.jpg,1,0,0,0
20181201192007_b25bae85-75aa-4199-a284-1144af0ae6d4.jpg,1,0,0,0
20181201192017_9ad609b8-2aae-47ac-afe9-da696aec4639.jpg,1,0,0,0
20181201192431_a10f2fb6-620c-4084-af75-2e70afd5610d.jpg,1,0,0,0
20181201192832_e8f55a57-a436-4714-97f2-46d37200af61.jpg,1,0,0,0
20181201192835_554da5e7-1198-4f43-9665-6e52b4f9cbb7.jpg,1,0,0,0
20181201192839_06f64d37-2b7b-4dc3-8397-78267a8110d7.jpg,1,0,0,0
20181201192850_f7820643-3115-4022-8f6b-6d691379d34a.jpg,1,0,0,0
20181201192914_b7ebf360-416c-4033-89eb-92d6a0fd9fbc.jpg,1,0,0,0
20181201192923_dcbebc22-d1c1-490e-82bf-85b63bdd62f7.jpg,1,0,0,0
20181201192937_46aae22a-8d6e-49d7-8460-3efb940a4d49.jpg,1,0,0,0
20181201193014_1451ede9-5ac8-433f-a4ae-b69252ae7f83.jpg,1,0,0,0
20181201193107_be27bab2-35ba-43d6-ae1c-5948e5798d21.jpg,0,1,0,0
20181201193116_63eb0d28-ab5f-412c-82c2-006bf5ccce1a.jpg,0,1,0,0
20181201193148_5d94e279-d43e-42ac-8dad-66c5be144217.jpg,1,0,0,0
20181201193315_33ad324d-39b6-4647-a7d3-7befe1859ce5.jpg,1,0,0,0
20181201193550_b7294bd6-0241-4cda-b086-b3754094212e.jpg,1,0,0,0
20181201193555_c4c985c9-030e-40a7-b27e-8a254d0e8d60.jpg,1,0,0,0
20181201193559_464c05b1-99d3-4ad3-9c39-2e5c01d39275.jpg,1,0,0,0
20181201193616_5f6d6173-1387-4b81-9405-41aa9d852e20.jpg,1,0,0,0
20181201194140_1de5b073-bc07-41e3-a470-cb7e98371b80.jpg,0,0,1,0
20181201194144_3161c41d-8b85-46b5-96d5-606515adf7cd.jpg,0,0,1,0
20181201194312_cb8ba0d8-c60b-47f8-839e-973670ac86b4.jpg,1,0,0,0
20181201194329_12554264-e1b9-43ae-91af-cf6c141adf6d.jpg,1,0,0,0
20181201194337_16774008-e6e8-4358-8a94-5fbbf67b15c3.jpg,1,0,0,0
20181201194354_e4fb4b93-04e5-4ccf-95d0-8306e662c079.jpg,1,0,0,0
20181201194433_4d6466aa-df14-4ebb-bd4a-ce8dea2da4d6.jpg,0,1,0,0
20181201194446_649e7f2c-1090-4a22-9459-bc5529d1b3d5.jpg,1,0,0,0
20181201194458_1b67b2d9-f7ab-4055-a1c4-e8a504d63b18.jpg,1,0,0,0
20181201194513_f21073ae-bf11-44b1-8cbd-b9fe421e2c13.jpg,0,0,0,1
20181201194517_56f98f45-22d3-49e3-b138-4a6d13e949e7.jpg,1,0,0,0
20181201194538_9db73343-07c1-4b8e-98d0-c63c59309d36.jpg,1,0,0,0
20181201194543_70840a65-dd60-4fc0-9735-0e999f4547fe.jpg,1,0,0,0
20181201194552_77630cdf-4b15-42f3-ab55-397e083808a1.jpg,0,1,0,0
20181201194558_ea834915-50be-4c73-b417-d9e22d1e01d8.jpg,1,0,0,0
20181201194611_31427a6f-71c1-4b25-a806-14dc509ad1c0.jpg,0,1,0,0
20181201194623_76268fc3-0e39-44cc-8a6a-fb78a99daa52.jpg,1,0,0,0
20181201194629_4e46391a-92ee-480d-ac20-989a2674814e.jpg,1,0,0,0
20181201194636_12674c2b-0917-471b-b06d-6f68b01cf1ab.jpg,1,0,0,0
20181201194647_77e646b7-ba51-4da4-9345-b436640d765f.jpg,1,0,0,0
20181201194758_617f55b7-cf07-4578-ae7f-98d08c7dca07.jpg,1,0,0,0
20181201194805_09663534-1c7a-4cfa-85f9-45c39cf9790c.jpg,1,0,0,0
20181201194809_9095b358-60cd-45c7-a95a-639a71e63917.jpg,1,0,0,0
20181201195951_b31331dc-2bff-49cd-95ef-edb8f284a3c3.jpg,0,1,0,0
20181201200053_158f9dcd-d40e-4b4b-936e-8b38222580ce.jpg,1,0,0,0
20181201200106_caae5a61-4bf9-48f6-b417-b5fc46f21ab2.jpg,1,0,0,0
20181201200112_9cc042af-09c4-4460-a3f1-94bff69e543b.jpg,1,0,0,0
20181201200118_6aa9b051-0f7d-4094-8e6c-804e17d7e836.jpg,1,0,0,0
20181201200206_0058ea16-4f81-4fc5-bd23-09df0f2a4f06.jpg,0,0,1,0
20181201200211_76d6b9ca-82d7-41a9-92eb-c24f2e396cdf.jpg,0,0,1,0
20181201200217_b26ba2a9-8ddc-4cda-9374-cf99ea88ca01.jpg,0,0,1,0
20181201200237_a32fee0f-8047-451c-828a-fe008c8b1420.jpg,1,0,0,0
20181201200247_be95bb0b-ea06-43b6-a109-0d704875f6eb.jpg,1,0,0,0
20181201200252_a4e884d1-cc91-43d4-97ac-efdb912d3f50.jpg,0,1,0,0
20181201200257_5f5cc5d2-a251-4df3-8caa-047d3fed9764.jpg,0,1,0,0
20181201200301_1867d891-0d1b-49f8-a443-c03b9fa9eca5.jpg,0,1,0,0
20181201200406_d81d1d2a-57b0-41e6-8af6-39c082b7498e.jpg,0,1,0,0
20181201200547_427f069d-a114-4489-8a83-10630016c8bb.jpg,0,1,0,0
20181201200557_36bce0ef-4fc7-429b-b6e1-70a785929b34.jpg,0,0,0,1
20181201200610_dbdb1810-9977-448e-a910-18fb872a71f4.jpg,0,1,0,0
20181201200616_da356e23-11bc-4300-b985-d9e88d5da340.jpg,0,1,0,0
20181201202650_8250f621-75b9-46bc-bd8d-416d4c4f51b5.jpg,1,0,0,0
20181201202734_a0dbdf1c-7e64-4cc3-9c38-6ab0337e26db.jpg,0,1,0,0
20181201202954_3249ce3a-96ae-48e4-bc23-5c047d9701a5.jpg,0,0,1,0
20181201203154_9b6a21cc-df45-433e-938b-f6283a11dceb.jpg,1,0,0,0
20181201203213_d3e2ec62-619c-4ea3-a6cf-5d976d104622.jpg,0,1,0,0
20181201203417_d3ed4d5e-4a2f-4f80-8d51-a42d617e8716.jpg,1,0,0,0
20181201203426_0e17097e-d6af-4d0c-8ae9-977cabbdf56d.jpg,1,0,0,0
20181201203806_bff67dc2-a561-4978-a54c-ef55ddb16944.jpg,0,0,0,1
20181201204224_2daa961f-58e1-4fca-850b-6388cf8a5020.jpg,0,0,1,0
20181201204234_54668476-6427-4ff5-867b-05ab912ae506.jpg,0,0,1,0
20181201204255_cc4fe3a7-dee6-478e-b88f-28b34b7504af.jpg,0,0,1,0
20181201204456_3d6627c4-c45f-44c4-9888-6be296c002de.jpg,1,0,0,0
20181201205154_cb6a4bff-772b-4dd0-a006-5df49896acde.jpg,0,0,1,0
20181201210532_384384e2-e2e5-4f63-9d22-6f493af7b331.jpg,0,1,0,0
20181201210537_0d7fb843-4b80-4c73-a799-a47f0ab48beb.jpg,0,1,0,0
20181201210545_5d38076c-4f31-4c6c-bc56-3072294623dd.jpg,0,1,0,0
20181201210552_b5a3f792-fb17-4e71-928a-d14b98b053da.jpg,0,1,0,0
20181201210821_5e5f6513-5960-4e35-813f-22868d034efb.jpg,0,0,1,0
20181201210838_e3579b88-b26a-4a90-870c-8b7b02188b01.jpg,0,1,0,0
20181201210925_ad39193e-b100-4919-811c-39e70a1334b4.jpg,1,0,0,0
20181201210940_c06cc23f-b43f-4aa1-b285-45f756c86f53.jpg,0,1,0,0
20181201210949_67d7d26c-5fa4-4a53-b5b6-8f2d75e5ca1c.jpg,1,0,0,0
20181201211011_dd105052-23b8-432c-adec-796753f399ff.jpg,0,1,0,0
20181201211054_bc4f40a1-6ed1-4cbf-8d07-144b5b2acebb.jpg,0,1,0,0
20181201211106_1c465979-6698-4293-b9b5-04b0ae9b8b60.jpg,1,0,0,0
20181201211111_d2a7b85c-6b42-431c-9c2d-718856f2e960.jpg,0,1,0,0
20181201211129_798b7352-0d8f-4ffc-a9c4-5c00cc623c31.jpg,0,0,1,0
20181201211226_de3e4de8-d240-4ec5-8fc3-a0597509d456.jpg,1,0,0,0
20181201211342_0acdd47f-b09d-47ae-a33f-7fa07b620975.jpg,0,0,1,0
20181201211346_8505ca25-84a9-43bc-a5aa-df6bd511e537.jpg,0,0,1,0
20181201211638_1f0524ac-8fe5-49a8-8451-e739c68e07a6.jpg,0,0,1,0
20181201212529_a4bb3f1a-cea8-4a30-99ae-a64e15f85649.jpg,0,1,0,0
20181201212534_fe4653d2-d69e-402e-b59b-f6cceb25518e.jpg,0,1,0,0
20181201212548_c75cf2e6-8762-4b9e-ae73-fc5a645528e2.jpg,1,0,0,0
20181201213443_ff9d9776-1be6-48de-9335-dec6fdbabff5.jpg,1,0,0,0
20181201213455_882b5c95-20e9-4b3a-b4ac-ca183e5341e7.jpg,0,1,0,0
20181201213747_1d21b61b-23cd-49cd-8e23-03bbfa9867f2.jpg,1,0,0,0
20181201213752_aae8261e-45e6-4cd6-806a-624e2950a03f.jpg,1,0,0,0
20181211114407_0051e80f-f3c2-4ed5-b072-6752dba28305.jpg,0,1,0,0
20181211114441_85581281-b22d-452a-bdb0-ecca2708024a.jpg,0,1,0,0
20181211114640_589c5184-9ba0-494a-b920-86add00405e4.jpg,0,0,0,1
20181211114809_72e265ae-9a4a-4ee1-aeff-c58081ee08de.jpg,0,0,0,1
20181211114819_fb1334d0-1035-4a91-b0d0-933bb609d6d7.jpg,0,1,0,0
20181211115719_f2ab103e-219a-4bfb-981e-2128327a8f3c.jpg,0,0,0,1
20181211115922_7d25eb66-1246-4ec9-ad67-a2ec07b8f7b8.jpg,0,0,0,1
20181211115942_0b1220fe-71b1-4cbd-bf5e-ea0f5f7b0326.jpg,0,1,0,0
20181211120046_1cd041ae-0839-40d6-8a12-f3f281f9e681.jpg,0,0,0,1
20181211120054_9c836d5c-8ba7-4b2a-a32b-b38f62b688e8.jpg,0,0,0,1
20181211120100_d381ddef-b172-4dab-9c45-456e5c95ed4e.jpg,0,0,0,1
20181211120114_e26b864f-3998-491a-8442-01a840851c22.jpg,0,0,0,1
20181211120130_091b2449-a191-4c74-a894-c366ee2f5c7c.jpg,0,0,0,1
20181211120208_8e0c5099-e2c8-400d-9de2-4b12624c2fb4.jpg,0,0,0,1
20181211120239_94e8c8b8-e799-4b02-82ba-6de00b342059.jpg,0,1,0,0
20181211120329_23762ef6-9a0e-44cd-a29c-5641e3323276.jpg,0,0,0,1
20181211120343_b15c585c-5a0f-4089-b5be-9805628a7af3.jpg,0,0,0,1
20181211120353_eec9016a-2ae5-4573-89bb-d30f4f341ac9.jpg,0,0,0,1
20181211120507_3861e601-ddd0-4fe9-94eb-22bc9be183bf.jpg,0,0,0,1
20181211120513_a854f126-a4fc-4272-807f-dc47db1f10b2.jpg,0,0,0,1
20181211120539_acc8725b-25f4-40f0-8a0d-ee0d2f04f2dc.jpg,0,0,0,1
20181211120902_1c21af12-bb89-471b-94cc-e02d0fcb670d.jpg,0,1,0,0
20181211120912_6b3bc931-8390-42aa-96cb-71b2d2db74d3.jpg,1,0,0,0
